project,unit,type,owner,parent,countries,status,start_year,capacity,production,capacity_production_unit,geom,lat,lng,route,url,status_legend
Surat Thani power station,CC1,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,pre-construction,2027,700,,MW,point,9.0714,99.225,,https://www.gem.wiki/Surat_Thani_power_station,pre-construction
Surat Thani power station,CC2,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,pre-construction,2029,700,,MW,point,9.0714,99.225,,https://www.gem.wiki/Surat_Thani_power_station,pre-construction
Surat Thani power station,GT1,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,mothballed,2001,122,,MW,point,9.0714,99.225,,https://www.gem.wiki/Surat_Thani_power_station,mothballed_plus
Surat Thani power station,GT2,gas_power_plant,Electricity Generating Authority of Thailand,Electricity Generating Authority of Thailand,Thailand,mothballed,2001,122,,MW,point,9.0714,99.225,,https://www.gem.wiki/Surat_Thani_power_station,mothballed_plus
Suwan CHP plant,1,gas_power_plant,Suwan Energy Co Ltd,Samick Musical Instrument Co Ltd [70.0%],South Korea,operating,2008,118,,MW,point,35.196,126.83,,https://www.gem.wiki/Suwan_CHP_plant,operating
Sylhet power station,1,gas_power_plant,Bangladesh Power Development Board (BPDB),Bangladesh Power Development Board (BPDB),Bangladesh,operating,2020,225,,MW,point,24.91,91.829,,https://www.gem.wiki/Sylhet_power_station,operating
T-Point 2 power station,1,gas_power_plant,Mistubishi Hitachi Power Systems; Mistubishi Hitachi Power Systems,Hitachi Ltd; Mitsubishi Corp,Japan,operating,2020,566,,MW,point,34.746,134.78,,https://www.gem.wiki/T-Point_2_power_station,operating
Taban power station,1,gas_power_plant,Jam Energy Development Co; Jam Energy Development Co; Jam Energy Development Co,Iran Foreign Investment Co; National Iranian Oil Co,Iran,operating,2017,484,,MW,point,31.951,54.093,,https://www.gem.wiki/Taban_power_station,operating
Tabriz power station,1,gas_power_plant,East Azerbaijan Power Generation Management Co,East Azerbaijan Power Generation Management Co,Iran,operating,1986,368,,MW,point,38.009,46.098,,https://www.gem.wiki/Tabriz_power_station,operating
Tabriz power station,2,gas_power_plant,East Azerbaijan Power Generation Management Co,East Azerbaijan Power Generation Management Co,Iran,operating,1989,368,,MW,point,38.009,46.098,,https://www.gem.wiki/Tabriz_power_station,operating
Taean power station,1,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,South Korea,announced,2025,500,,MW,point,36.906,126.23,,https://www.gem.wiki/Taean_power_station,proposed_plus
Taean power station,2,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,South Korea,announced,2025,500,,MW,point,36.906,126.23,,https://www.gem.wiki/Taean_power_station,proposed_plus
Taean power station,3,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,South Korea,announced,2028,500,,MW,point,36.906,126.23,,https://www.gem.wiki/Taean_power_station,proposed_plus
Taean power station,4,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,South Korea,announced,2029,500,,MW,point,36.906,126.23,,https://www.gem.wiki/Taean_power_station,proposed_plus
Taean power station,5,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,South Korea,announced,2032,500,,MW,point,36.906,126.23,,https://www.gem.wiki/Taean_power_station,proposed_plus
Taean power station,6,gas_power_plant,Korea Western Power Co Ltd,Korea Electric Power Corp,South Korea,announced,2032,500,,MW,point,36.906,126.23,,https://www.gem.wiki/Taean_power_station,proposed_plus
Tagkawayan Power Station,1,gas_power_plant,Orion Pacific Prime Energy Inc,Orion Pacific Prime Energy Inc,Philippines,announced,2028,1200,,MW,point,13.942,122.51,,https://www.gem.wiki/Tagkawayan_Power_Station,proposed_plus
Taichung power station,1,gas_power_plant,Taiwan Power Company (TAIPOWER),Taiwan Power Company (TAIPOWER),Taiwan,operating,1980,70,,MW,point,24.212,120.49,,https://www.gem.wiki/Taichung_power_station,operating
Taichung power station,2,gas_power_plant,Taiwan Power Company (TAIPOWER),Taiwan Power Company (TAIPOWER),Taiwan,operating,1980,70,,MW,point,24.212,120.49,,https://www.gem.wiki/Taichung_power_station,operating
Taichung power station,3,gas_power_plant,Taiwan Power Company (TAIPOWER),Taiwan Power Company (TAIPOWER),Taiwan,operating,1980,70,,MW,point,24.212,120.49,,https://www.gem.wiki/Taichung_power_station,operating
Taichung power station,4,gas_power_plant,Taiwan Power Company (TAIPOWER),Taiwan Power Company (TAIPOWER),Taiwan,operating,1980,70,,MW,point,24.212,120.49,,https://www.gem.wiki/Taichung_power_station,operating
