project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Guangxi Liuzhou Iron and Steel Group Company Limited Gas Power Project,1,gas_power_plant,,,China,operating,2023,135,,MW,point,24.388,109.39,,https://www.gem.wiki/Guangxi_Liuzhou_Iron_and_Steel_Group_Company_Limited_Gas_Power_Project,operating
Guangzhou (Meizhou) Industrial Transfer Industrial Park Distributed power station,1,gas_power_plant,,,China,pre-construction,2025,50,,MW,point,24.03,116,,https://www.gem.wiki/Guangzhou_(Meizhou)_Industrial_Transfer_Industrial_Park_Distributed_power_station,pre-construction
Guangzhou (Meizhou) Industrial Transfer Industrial Park Distributed power station,2,gas_power_plant,,,China,pre-construction,2025,50,,MW,point,24.03,116,,https://www.gem.wiki/Guangzhou_(Meizhou)_Industrial_Transfer_Industrial_Park_Distributed_power_station,pre-construction
Guangzhou Baiyun Hengyun power station,1-1,gas_power_plant,Guangzhou Hengyun Enterprises Holdings Ltd,Guangzhou Hengyun Enterprises Holdings Ltd,China,pre-construction,2024,460,,MW,point,23.158,113.27,,https://www.gem.wiki/Guangzhou_Baiyun_Hengyun_power_station,pre-construction
Guangzhou Baiyun Hengyun power station,1-2,gas_power_plant,Guangzhou Hengyun Enterprises Holdings Ltd,Guangzhou Hengyun Enterprises Holdings Ltd,China,pre-construction,2024,460,,MW,point,23.158,113.27,,https://www.gem.wiki/Guangzhou_Baiyun_Hengyun_power_station,pre-construction
Guangzhou Baiyun Hengyun power station,2-1,gas_power_plant,Guangzhou Hengyun Enterprises Holdings Ltd,Guangzhou Hengyun Enterprises Holdings Ltd,China,announced,2030,460,,MW,point,23.158,113.27,,https://www.gem.wiki/Guangzhou_Baiyun_Hengyun_power_station,proposed_plus
Guangzhou Pearl River LNG power station,1-1,gas_power_plant,Guangzhou Pearl River Natural Gas Power Generation Co Ltd,Guangzhou Development Group Inc [70.00%]; Guangdong Hengjian Investment Holding Co Ltd [22.80%]; China Huaneng Group [7.20%],China,operating,2006,390,,MW,point,22.814,113.57,,https://www.gem.wiki/Guangzhou_Pearl_River_LNG_power_station,operating
Guangzhou Pearl River LNG power station,1-2,gas_power_plant,Guangzhou Pearl River Natural Gas Power Generation Co Ltd,Guangzhou Development Group Inc [70.00%]; Guangdong Hengjian Investment Holding Co Ltd [22.80%]; China Huaneng Group [7.20%],China,operating,2007,390,,MW,point,22.814,113.57,,https://www.gem.wiki/Guangzhou_Pearl_River_LNG_power_station,operating
Guangzhou Pearl River LNG power station,2-1,gas_power_plant,Guangzhou Pearl River Natural Gas Power Generation Co Ltd,Guangzhou Development Group Inc [70.00%]; Guangdong Hengjian Investment Holding Co Ltd [22.80%]; China Huaneng Group [7.20%],China,construction,2023,600,,MW,point,22.814,113.57,,https://www.gem.wiki/Guangzhou_Pearl_River_LNG_power_station,construction_plus
Guangzhou Pearl River LNG power station,2-2,gas_power_plant,Guangzhou Pearl River Natural Gas Power Generation Co Ltd,Guangzhou Development Group Inc [70.00%]; Guangdong Hengjian Investment Holding Co Ltd [22.80%]; China Huaneng Group [7.20%],China,construction,2023,600,,MW,point,22.814,113.57,,https://www.gem.wiki/Guangzhou_Pearl_River_LNG_power_station,construction_plus
Guangzhou University City Distributed Gas power station,1,gas_power_plant,Guangzhou University City Huadian New Energy Co Ltd,China Huadian Group Corp [55.00%]; Guangzhou Urban Construction Investment Group Co Ltd [45.00%],China,operating,2009,78,,MW,point,23.023,113.4,,https://www.gem.wiki/Guangzhou_University_City_Distributed_Gas_power_station,operating
Guangzhou University City Distributed Gas power station,2,gas_power_plant,Guangzhou University City Huadian New Energy Co Ltd,China Huadian Group Corp [55.00%]; Guangzhou Urban Construction Investment Group Co Ltd [45.00%],China,operating,2009,78,,MW,point,23.023,113.4,,https://www.gem.wiki/Guangzhou_University_City_Distributed_Gas_power_station,operating
Guangzhou University City Distributed Gas power station,2-1,gas_power_plant,Guangzhou University City Huadian New Energy Co Ltd,China Huadian Group Corp [55.00%]; Guangzhou Urban Construction Investment Group Co Ltd [45.00%],China,announced,,500,,MW,point,23.023,113.4,,https://www.gem.wiki/Guangzhou_University_City_Distributed_Gas_power_station,proposed_plus
Guangzhou Wanbuo Central Business District Distributed Gas power station,1,gas_power_plant,Guangzhou University City Huadian New Energy Co Ltd,China Huadian Group Corp [55.00%]; Guangzhou Urban Construction Investment Group Co Ltd [45.00%],China,operating,2020,58.38,,MW,point,23.009,113.35,,https://www.gem.wiki/Guangzhou_Wanbuo_Central_Business_District_Distributed_Gas_power_station,operating
Guangzhou Zengcheng Wanglong Gas Thermal power station,1,gas_power_plant,Guangzhou Development Power Technology Co Ltd,Guangzhou Development Group Inc,China,pre-construction,,460,,MW,point,23.093,113.56,,https://www.gem.wiki/Guangzhou_Zengcheng_Wanglong_Gas_Thermal_power_station,pre-construction
Guangzhou Zengcheng Wanglong Gas Thermal power station,2,gas_power_plant,Guangzhou Development Power Technology Co Ltd,Guangzhou Development Group Inc,China,pre-construction,,460,,MW,point,23.093,113.56,,https://www.gem.wiki/Guangzhou_Zengcheng_Wanglong_Gas_Thermal_power_station,pre-construction
Guddu power station,1,gas_power_plant,Central Power Generation Co Ltd,Power Planning and Monitoring Co,Pakistan,mothballed,1974,110,,MW,point,28.425,69.701,,https://www.gem.wiki/Guddu_power_station,mothballed_plus
